,molecule_chembl_id,SMILES,pIC50,ROMol,maccs,morgan,tanimoto_maccs,dice_maccs,tanimoto_morgan,dice_morgan
256,CHEMBL1202477,COc1cc2c(Nc3ccc(Br)cc3F)ncnc2cc1OCCCN1CCN(C)CC1.Cl,7.0,<rdkit.Chem.rdchem.Mol object at 0x748eca1b1460>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x748ec950ec00>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x748ec95c0f90>,0.8507462686567164,0.9193548387096774,0.5733333333333334,0.7288135593220338
585,CHEMBL138940,O=C(/C=C/C(=O)Nc1cc2c(Nc3ccc(F)c(Cl)c3)ncnc2cn1)NCCCN1CCOCC1,9.214670164989233,<rdkit.Chem.rdchem.Mol object at 0x748ec976c430>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x748ec9517a70>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x748ec95d31b0>,0.7323943661971831,0.8455284552845529,0.5609756097560976,0.71875
611,CHEMBL14699,COc1cc2ncnc(Nc3ccc(F)c(Cl)c3)c2cc1OCCN1CCOCC1,8.0,<rdkit.Chem.rdchem.Mol object at 0x748ec976cf90>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x748ec9518660>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x748ec95d4900>,1.0,1.0,0.9193548387096774,0.957983193277311
795,CHEMBL1744086,COc1cc2ncnc(Nc3ccc(F)c(Cl)c3)c2cc1OC[C@@H](O)CN1CCOCC1,7.022276394711152,<rdkit.Chem.rdchem.Mol object at 0x748ec97720a0>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x748ec951d770>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x748ec95deb20>,0.9230769230769231,0.96,0.7464788732394366,0.8548387096774194
797,CHEMBL1744347,COc1cc2c(Nc3ccc(Cl)cc3F)ncnc2cc1OCCCN1CCN(C)CC1.Cl,7.1249387366083,<rdkit.Chem.rdchem.Mol object at 0x748ec9772180>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x748ec951d850>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x748ec95dece0>,0.8636363636363636,0.926829268292683,0.6301369863013698,0.773109243697479
818,CHEMBL1788321,COc1cc2ncnc(Nc3ccc(F)c(Cl)c3)c2cc1OC[C@H](O)CN1CCOCC1,7.173925197299174,<rdkit.Chem.rdchem.Mol object at 0x748ec9772ab0>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x748ec951e180>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x748ec95dff40>,0.9230769230769231,0.96,0.7464788732394366,0.8548387096774194
1185,CHEMBL2018753,CCCOC(=O)Nc1ccc(Nc2ncnc3cc(OC)c(OC)cc23)cc1Cl,6.0,<rdkit.Chem.rdchem.Mol object at 0x748ec977ccf0>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x748ec95283c0>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x748ec95f43c0>,0.6351351351351351,0.7768595041322314,0.5135135135135135,0.6785714285714286
1186,CHEMBL2018754,CCCCOC(=O)Nc1ccc(Nc2ncnc3cc(OC)c(OC)cc23)cc1Cl,5.193820026016113,<rdkit.Chem.rdchem.Mol object at 0x748ec977cd60>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x748ec9528430>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x748ec95f44a0>,0.6266666666666667,0.7704918032786885,0.52,0.6842105263157895
1195,CHEMBL2018765,CCN(CC)CCOc1cc2ncnc(Nc3ccc(F)c(Cl)c3)c2cc1OC,5.004364805402451,<rdkit.Chem.rdchem.Mol object at 0x748ec977d150>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x748ec9528820>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x748ec95f4c80>,0.8615384615384616,0.9256198347107438,0.6521739130434783,0.7894736842105263
1209,CHEMBL202556,O=C(C#CCN1CCOCC1)Nc1cc2c(Nc3ccc(F)c(Cl)c3)ncnc2cn1,8.508638306165727,<rdkit.Chem.rdchem.Mol object at 0x748ec977d770>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x748ec9528e40>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x748ec95f58c0>,0.75,0.8571428571428571,0.5185185185185185,0.6829268292682927
1210,CHEMBL202621,O=C(C#CCN1CCOCC1)Nc1ccc2ncnc(Nc3ccc(F)c(Cl)c3)c2c1,7.0655015487564325,<rdkit.Chem.rdchem.Mol object at 0x748ec977d7e0>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x748ec9528eb0>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x748ec95f59a0>,0.746268656716418,0.8547008547008547,0.5316455696202531,0.6942148760330579
1211,CHEMBL202721,COc1cc2c(Nc3ccc(NC(=O)c4ccccc4)cc3)ncnc2cc1OCCCN1CCOCC1,6.958607314841775,<rdkit.Chem.rdchem.Mol object at 0x748ec977d850>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x748ec9528f20>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x748ec95f5a80>,0.8333333333333334,0.9090909090909091,0.6533333333333333,0.7903225806451613
1249,CHEMBL2031304,CCOc1cc2ncnc(Nc3ccc(F)c(Cl)c3)c2cc1NC(=O)CCN1CCCCC1,9.292429823902063,<rdkit.Chem.rdchem.Mol object at 0x748ec977e8f0>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x748ec9529fc0>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x748ec95f7bc0>,0.8115942028985508,0.896,0.524390243902439,0.688
1250,CHEMBL2031305,CCOc1cc2ncnc(Nc3ccc(F)c(Cl)c3)c2cc1NC(=O)CCN1CCOCC1,9.537602002101044,<rdkit.Chem.rdchem.Mol object at 0x748ec977e960>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x748ec952a030>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x748ec95f7ca0>,0.8405797101449275,0.9133858267716536,0.6282051282051282,0.7716535433070866
1272,CHEMBL203661,O=C(C#CCCN1CCOCC1)Nc1cc2c(Nc3ccc(F)c(Cl)c3)ncnc2cn1,8.886056647693163,<rdkit.Chem.rdchem.Mol object at 0x748ec977f300>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x748ec952a960>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x748ec95f9070>,0.75,0.8571428571428571,0.5432098765432098,0.704
1275,CHEMBL204085,O=C(C#CCCN1CCOCC1)Nc1ccc2ncnc(Nc3ccc(F)c(Cl)c3)c2c1,8.769551078621726,<rdkit.Chem.rdchem.Mol object at 0x748ec977f450>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x748ec952aab0>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x748ec95f9310>,0.746268656716418,0.8547008547008547,0.5569620253164557,0.7154471544715447
1341,CHEMBL205776,CN1CCN(CCCOc2cc(OC3CCOCC3)c3c(Nc4ccc(F)c(Cl)c4)ncnc3c2)CC1,7.180456064458132,<rdkit.Chem.rdchem.Mol object at 0x748ec97811c0>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x748ec952c820>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x748ec93fcd60>,0.90625,0.9508196721311475,0.5609756097560976,0.71875
