row ID;molecule_chembl_id;Units;IC50;SMILES;First(target_chembl_id (#1));pIC50
Row0;CHEMBL10;nM;96000;C[S+]([O-])c1ccc(-c2nc(-c3ccc(F)cc3)c(-c3ccncc3)[nH]2)cc1;CHEMBL203;4.017728766960432
Row3;CHEMBL1009;nM;900000;N[C@@H](Cc1ccc(O)c(O)c1)C(=O)O;CHEMBL203;3.0457574905606757
Row8;CHEMBL1016;nM;3276.9;CCOc1nc2cccc(C(=O)O)c2n1Cc1ccc(-c2ccccc2-c2nnn[nH]2)cc1;CHEMBL203;5.484536811626732
Row9;CHEMBL101683;nM;7300;O=C(Nc1ccc(Cl)cc1)c1ccccc1NCc1ccncc1;CHEMBL203;5.136677139879545
Row15;CHEMBL102726;nM;320;c1ccc(CNc2ncnc3ccccc23)cc1;CHEMBL203;6.494850021680094
Row19;CHEMBL103552;nM;4100;O=C(O)c1cc(N(Cc2ccccc2O)Cc2cc(O)ccc2O)ccc1O;CHEMBL203;5.3872161432802645
Row21;CHEMBL103860;nM;3300;O=C(O)c1cc(CCc2cc(O)ccc2O)ccc1O;CHEMBL203;5.481486060122113
Row23;CHEMBL104;nM;69421;Clc1ccccc1C(c1ccccc1)(c1ccccc1)n1ccnc1;CHEMBL203;4.158509134667
Row25;CHEMBL104153;nM;220;COc1ccc(Nc2ncc3cc(-c4c(Cl)cccc4Cl)c(=O)n(C)c3n2)cc1;CHEMBL203;6.657577319177793
Row27;CHEMBL104244;nM;210;CN1CCN(CCCCNc2ncc3cc(-c4c(Cl)cccc4Cl)c(=O)n(C)c3n2)CC1;CHEMBL203;6.6777807052660805
Row28;CHEMBL104466;nM;3700;COc1cc2ncc(N[C@H]3CC[C@H](O)CC3)nc2cc1OC;CHEMBL203;5.431798275933005
Row30;CHEMBL104779;nM;910;Cn1c(=O)c(-c2c(Cl)cccc2Cl)cc2cnc(Nc3ccncc3)nc21;CHEMBL203;6.040958607678906
Row34;CHEMBL105436;nM;300;COc1cccc(-c2cn(-c3ccc(CCN(C)CCO)cc3)c3ncnc(N)c23)c1;CHEMBL203;6.522878745280337
Row38;CHEMBL106232;nM;4500;CN1CCN(CCCCCNc2ncc3cc(-c4c(Cl)cccc4Cl)c(=O)n(C)c3n2)CC1;CHEMBL203;5.346787486224656
Row48;CHEMBL107472;nM;7500;CNc1ncc2cc(-c3c(Cl)cccc3Cl)c(=O)n(C)c2n1;CHEMBL203;5.1249387366083
Row51;CHEMBL1077068;nM;88300;CC1=C(C(=O)Nc2cccc([N+](=O)[O-])c2)C(c2ccc(O)cc2O)NC(Nc2ccc(S(=O)(=O)Nc3ncccn3)cc2)=N1;CHEMBL203;4.054039296422432
Row52;CHEMBL1077069;nM;79800;CC1=C(C(=O)Nc2cccc([N+](=O)[O-])c2)C(c2ccc(O)cc2O)NC(Nc2ccc(S(=O)(=O)Nc3nc(C)cc(C)n3)cc2)=N1;CHEMBL203;4.097997108649271
Row54;CHEMBL1077085;nM;80600;CC1=C(C(=O)Nc2cccc([N+](=O)[O-])c2)C(c2ccc(O)cc2O)NC(NN2C(=O)/C(=C\c3cccs3)SC2=S)=N1;CHEMBL203;4.0936649581949105
Row56;CHEMBL1077095;nM;47900;CC1=C(C(=O)Nc2cccc([N+](=O)[O-])c2)C(c2ccc(O)cc2O)NC(NN)=N1;CHEMBL203;4.319664486585437
Row57;CHEMBL1077107;nM;99300;CC1=C(C(=O)Nc2cccc([N+](=O)[O-])c2)C(c2ccc(O)cc2O)NC(NN2C(=O)/C(=C\c3ccco3)SC2=S)=N1;CHEMBL203;4.003050751504619
Row59;CHEMBL1079742;nM;420;C#Cc1cccc(Nc2ncnc3cc(OCCOC)c(OCCOC)cc23)c1.Cl;CHEMBL203;6.376750709602099
Row61;CHEMBL1080271;nM;77220;CCN(CC)CCNC(=O)c1cc2cnnc(Nc3ccc(OCc4cccc(F)c4)c(Cl)c3)c2[nH]1;CHEMBL203;4.11227020271197
Row62;CHEMBL1080272;nM;15140;O=C(NCCN1CCCC1)c1cc2cnnc(Nc3ccc(OCc4cccc(F)c4)c(Cl)c3)c2[nH]1;CHEMBL203;4.8198741248359465
Row63;CHEMBL1080506;nM;12650;Cc1c(C(=O)NCCN2CCOCC2)[nH]c2cnnc(Nc3ccc(OCc4cccc(F)c4)c(Cl)c3)c12;CHEMBL203;4.897909474488164
Row64;CHEMBL1080812;nM;867;Cc1c(C(=O)NCCN2CCOCC2)[nH]c2cnnc(Nc3ccc(OCc4ccccn4)c(Cl)c3)c12;CHEMBL203;6.06198090252379
Row65;CHEMBL1080815;nM;2700;Clc1cccc(Nc2ncnc3ccc(Cl)cc23)c1;CHEMBL203;5.568636235841013
Row66;CHEMBL1080990;nM;1210;CCOC(=O)c1[nH]c(C)c2cnnc(Nc3ccc(OCc4cccc(F)c4)c(Cl)c3)c12;CHEMBL203;5.917214629683551
