"NumHeavyAtoms","NumStereocenters","NumAromaticHeterocycles","NumSaturatedCarbocycles","slogp_VSA4","slogp_VSA7","slogp_VSA9","slogp_VSA10","slogp_VSA11","smr_VSA8","peoe_VSA4","peoe_VSA5","peoe_VSA6","peoe_VSA12","peoe_VSA14","MQN4","MQN5","MQN6","MQN11","MQN18","MQN33","MQN34","MQN37","MQN38","MQN39","MQN40","Prediction (pIC50)"
30,0,1,0,12.343784214475903,0,0,11.50524905251859,11.49902366656781,0,0,18.830383056800237,11.986801387317254,0,0,0,0,0,0,0,0,0,0,0,0,0,7.146844897915011
38,0,2,0,12.740958040736519,5.022633313741326,0,15.89566410019341,5.749511833283905,0,5.098681808301038,5.098681808301038,23.733674027155736,0,0,0,0,0,1,0,0,0,0,0,0,0,7.557867244060924
37,0,3,0,6.923737199690624,5.022633313741326,0,11.50524905251859,5.749511833283905,0,5.098681808301038,5.098681808301038,17.667306958694127,0,0,0,0,0,1,0,0,0,0,0,0,0,7.770678855764381
25,0,1,0,18.254850067221383,5.022633313741326,0,11.374772549367124,11.49902366656781,0,5.261891554738487,0,17.667306958694127,0,0,0,0,0,0,0,0,0,0,0,0,0,7.302356535756813
25,0,1,0,17.148333708576654,5.022633313741326,0,15.765187597041944,11.49902366656781,0,5.261891554738487,0,11.600939890232516,0,0,0,0,0,0,0,0,0,0,0,0,0,7.296427688780093
25,0,1,0,11.33111286753076,5.022633313741326,0,11.374772549367124,17.248535499851716,0,5.261891554738487,0,11.600939890232516,0,0,0,0,0,0,0,0,0,0,0,0,0,7.017212249468353
28,0,1,0,17.148333708576654,0,0,28.936432740066408,11.49902366656781,0,18.433136697762947,0,0,0,6.176298517443475,0,0,0,0,0,0,0,0,0,0,0,6.383327294137576
35,0,1,0,17.148333708576654,5.022633313741326,0,21.452573871725505,5.749511833283905,0,5.261891554738487,0,17.676959997066398,5.907179729351506,0,0,0,0,1,0,0,0,0,0,0,0,7.668710462115271
36,1,1,0,17.148333708576654,5.022633313741326,0,21.452573871725505,5.749511833283905,0,5.261891554738487,0,17.676959997066398,5.907179729351506,0,0,0,0,1,0,0,0,0,0,0,0,7.905721792428244
33,0,1,0,17.148333708576654,5.022633313741326,0,21.452573871725505,0,0,5.261891554738487,0,18.179875573831012,0,0,0,0,0,1,0,0,0,0,0,0,0,7.367614814094732
32,0,1,0,17.148333708576654,5.022633313741326,0,21.452573871725505,5.749511833283905,0,5.261891554738487,0,17.676959997066398,5.907179729351506,0,0,0,0,0,0,0,0,0,0,0,0,7.8464065718450655
34,1,1,0,5.817220841045895,5.022633313741326,0,21.58305037487697,5.749511833283905,0,0,0,17.676959997066398,5.907179729351506,0,0,0,0,1,0,0,0,0,0,0,0,7.74258972738166
33,0,1,0,17.148333708576654,5.022633313741326,0,21.452573871725505,0,0,5.261891554738487,0,17.676959997066398,5.907179729351506,0,0,0,0,1,0,0,0,0,0,0,0,7.8016868971895175
32,0,1,0,18.658864086897914,0,0,15.89566410019341,17.248535499851716,0,0,12.407033161179976,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.056201455652006
33,0,1,0,5.817220841045895,0,0,15.89566410019341,11.49902366656781,0,0,12.407033161179976,15.929943897949348,0,0,1,0,0,0,0,0,0,0,0,0,0,7.7111745118395625
32,0,1,0,5.817220841045895,0,0,15.89566410019341,11.49902366656781,0,0,12.407033161179976,28.08198411161711,0,0,1,0,0,0,0,0,0,0,0,0,0,7.729540293803893
23,0,1,0,5.817220841045895,0,0,15.89566410019341,11.49902366656781,0,0,12.407033161179976,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.91587071008223
29,0,1,0,5.817220841045895,0,0,29.06690924321787,11.49902366656781,0,13.171245143024459,12.407033161179976,0,0,6.176298517443475,0,0,0,0,0,0,0,0,0,0,0,6.40942795525675
27,0,1,0,5.817220841045895,0,0,29.06690924321787,11.49902366656781,0,13.171245143024459,12.407033161179976,0,0,6.176298517443475,0,0,0,0,0,0,0,0,0,0,0,6.430923771174226
24,0,1,0,5.817220841045895,0,0,10.208277825509848,11.49902366656781,0,0,12.407033161179976,12.13273413692322,0,0,0,0,0,0,0,0,0,0,0,0,0,6.8922627943998975
25,0,1,0,5.817220841045895,0,0,15.89566410019341,11.49902366656781,0,0,12.407033161179976,12.13273413692322,0,0,0,0,0,0,0,0,0,0,0,0,0,6.911348720796447
25,0,1,0,5.817220841045895,0,0,15.89566410019341,11.49902366656781,0,0,12.407033161179976,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.900663529174276
23,0,1,0,0,0,0,11.50524905251859,11.49902366656781,0,0,12.407033161179976,21.99631096641096,0,0,1,0,0,0,0,0,0,0,0,0,0,7.568859906697513
25,0,1,0,0,0,0,11.50524905251859,11.49902366656781,0,0,12.407033161179976,21.99631096641096,0,0,1,0,0,0,0,0,0,0,0,0,0,7.556184979662409
25,0,1,0,5.817220841045895,0,0,15.89566410019341,11.49902366656781,0,0,12.407033161179976,6.06636706846161,0,0,0,0,0,0,0,0,0,0,0,0,0,6.904687747719079
25,0,1,0,3.5701822710653963,0,0,11.50524905251859,11.49902366656781,0,0,12.407033161179976,6.06636706846161,0,0,0,1,0,0,0,0,0,0,0,0,0,9.105457046086103
23,0,1,0,3.5701822710653963,0,0,11.50524905251859,11.49902366656781,0,0,12.407033161179976,6.06636706846161,0,0,0,1,0,0,0,0,0,0,0,0,0,9.22852084135693
23,0,1,0,5.817220841045895,0,0,15.89566410019341,11.49902366656781,0,0,12.407033161179976,12.13273413692322,0,0,0,0,0,0,0,0,0,0,0,0,0,6.926394550971415
46,0,1,1,17.04943215148857,0,0,20.155602644716765,22.99804733313562,0,0,0,0,11.814359458703011,0,0,0,0,1,0,1,0,0,0,0,0,7.985545157804521
28,0,2,0,0,0,0,11.50524905251859,11.49902366656781,0,0,0,12.13273413692322,0,0,0,0,0,1,0,0,0,0,0,0,0,6.725487289879703
28,0,2,0,0,0,0,11.50524905251859,11.49902366656781,0,5.098681808301038,0,12.13273413692322,0,0,0,0,0,0,0,0,0,0,0,0,0,6.778971597475145
28,0,2,0,0,0,0,11.50524905251859,11.49902366656781,0,0,11.336785877934737,12.13273413692322,0,0,0,0,1,0,0,0,0,0,0,0,0,6.756450378574376
29,0,2,0,0,0,0,17.323111830353618,0,0,0,0,21.99631096641096,0,0,1,0,0,1,0,0,0,0,0,0,0,7.831226220622686
29,0,2,0,6.923737199690624,0,0,11.50524905251859,11.49902366656781,0,0,11.336785877934737,12.13273413692322,0,0,0,0,1,0,0,0,0,0,0,0,0,6.9498116084152475
28,0,2,0,0,0,0,17.323111830353618,0,0,0,0,21.99631096641096,0,0,1,0,0,1,0,0,0,0,0,0,0,7.830534356189698
29,0,2,0,0,0,0,11.50524905251859,11.49902366656781,0,0,0,12.13273413692322,0,0,0,0,0,0,0,0,0,0,0,0,0,6.913989979732071
28,0,2,0,0,0,0,11.50524905251859,11.49902366656781,0,0,0,12.13273413692322,0,0,0,0,0,1,0,0,0,0,0,0,0,6.746160545767362
28,0,2,0,0,0,0,11.50524905251859,11.49902366656781,0,0,11.336785877934737,12.13273413692322,0,0,0,0,1,0,0,0,0,0,0,0,0,6.766962842650439
28,0,2,0,0,0,0,11.50524905251859,11.49902366656781,0,5.098681808301038,0,12.13273413692322,0,0,0,0,0,0,0,0,0,0,0,0,0,6.797265110489299
23,0,1,0,5.817220841045895,0,0,15.89566410019341,11.49902366656781,0,0,0,15.929943897949348,0,0,1,0,0,0,0,0,0,0,0,0,0,7.571473059186907
27,0,2,0,0,0,0,17.323111830353618,0,0,0,0,21.99631096641096,0,0,1,0,0,1,0,0,0,0,0,0,0,7.8383704589615695
28,0,2,0,6.923737199690624,0,0,17.323111830353618,0,0,0,0,12.13273413692322,0,0,0,0,0,1,0,0,0,0,0,0,0,7.171450373042875
29,0,1,0,17.148333708576654,5.022633313741326,0,15.765187597041944,11.49902366656781,0,5.261891554738487,0,11.600939890232516,0,0,0,0,0,0,0,0,0,0,0,0,0,7.279602487565252
35,0,2,0,0,0,0,17.323111830353618,0,0,0,0,21.99631096641096,11.814359458703011,0,1,0,0,1,0,0,0,0,0,0,0,8.658408443070444
32,0,2,0,0,0,0,17.323111830353618,0,0,0,0,28.575246650009454,0,0,1,0,0,1,0,0,0,0,0,0,0,7.818932632085935
29,0,1,0,0,0,0,17.19263532720215,0,0,5.114250125629398,0,27.21956388514441,0,0,1,0,0,1,0,0,0,0,0,0,0,7.357641252267885
36,0,2,0,5.817220841045895,5.022633313741326,0,21.71352687802844,0,0,0,0,11.600939890232516,11.814359458703011,0,0,0,0,1,0,0,0,0,0,0,0,8.403279949715275
32,0,1,0,0,0,0,17.19263532720215,0,0,0,0,28.575246650009454,5.907179729351506,0,1,0,0,1,0,0,0,0,0,0,0,7.8814226895231
30,0,1,0,5.817220841045895,5.022633313741326,0,15.89566410019341,11.49902366656781,0,0,0,11.600939890232516,0,0,0,0,0,1,0,0,0,0,0,0,0,6.933627101338921
